Date,Weekly rate,Both doses,First Dose Only,Unvaccinated
08/12/20,,0,0,52670
20/12/20,,0,620,52060
27/12/20,330,0,940,51730
03/01/21,370,20,1280,51380
10/01/21,1360,390,1900,50390
11/01/21,,410,2020,50240
12/01/21,,430,2210,50030
13/01/21,,440,2480,49760
14/01/21,,440,2790,49440
15/01/21,,450,3110,49110
16/01/21,,450,3390,48840
17/01/21,1840,450,3610,48610
18/01/21,1880,460,3810,48410
19/01/21,2000,460,4150,48060
20/01/21,2080,460,4510,47700
21/01/21,2170,470,4920,47290
22/01/21,2330,470,5400,46800
23/01/21,2540,470,5880,46320
24/01/21,2530,470,6100,46100
25/01/21,2600,470,6380,45820
26/01/21,2570,470,6690,45510
27/01/21,2490,480,6970,45230
28/01/21,2520,480,7410,44780
29/01/21,2520,480,7900,44290
30/01/21,2650,490,8490,43700
31/01/21,2750,490,8800,43380
01/02/21,2820,500,9150,43030
02/02/21,2880,500,9520,42650
03/02/21,3070,500,9990,42180
04/02/21,3110,510,10470,41700
05/02/21,3120,510,10960,41210
